left_eye :

anger :
anger 0.7192103266716003
anger 0.860384464263916
anger 0.9480206370353699
neutral 0.4978807866573334

contempt :
contempt 0.642145037651062

disgust :
disgust 0.9521069526672363
disgust 0.999945878982544
disgust 0.9999974966049194
disgust 0.9946516752243042
disgust 0.9999984502792358

fear :
disgust 0.5527852773666382
fear 0.4165983498096466

happy :
happy 0.9975109100341797
happy 0.9998944997787476
happy 0.9872222542762756
happy 0.9979934692382812
happy 0.9996484518051147
happy 0.9984885454177856

neutral :
neutral 0.998981773853302
neutral 0.9957895874977112
neutral 0.9614128470420837
neutral 0.9998537302017212
neutral 0.9996522665023804
neutral 0.8347185254096985
neutral 0.9624882936477661
neutral 0.8442808985710144
neutral 0.999937891960144
neutral 0.985310435295105
neutral 0.9997220635414124
neutral 0.9972883462905884
neutral 0.997896671295166
neutral 0.9969356060028076
neutral 0.8898055553436279
neutral 0.9998940229415894
neutral 0.9988201260566711
neutral 0.8904891610145569
neutral 0.9958053827285767
neutral 0.9993289709091187
neutral 0.9997685551643372
neutral 0.9999504089355469
neutral 0.9998453855514526
neutral 0.9747893214225769
neutral 0.9989172220230103
neutral 0.9945889711380005
neutral 0.9995697140693665
neutral 0.9986065030097961
neutral 0.9900081157684326
neutral 0.8310233354568481
neutral 0.9565765261650085
neutral 0.9134829640388489

sadness :
neutral 0.4285884201526642
neutral 0.3866351246833801

surprise :
surprise 0.9985476136207581
surprise 0.9944333434104919
surprise 0.9995176792144775
surprise 0.9983708262443542
surprise 0.9990167617797852
surprise 0.9999983310699463
surprise 0.999396800994873
surprise 0.9999985694885254

Accuracy : 93.33 %
----------------------------------------------
right_eye :

anger :
anger 0.8966272473335266
anger 0.9512130618095398
anger 0.984600841999054
anger 0.6251207590103149

contempt :
contempt 0.9929243326187134

disgust :
disgust 0.9943487048149109
disgust 1.0
disgust 1.0
disgust 0.9999998807907104
disgust 1.0

fear :
sadness 0.6156174540519714
fear 0.9903184175491333

happy :
happy 0.9987815022468567
happy 0.9950698614120483
happy 0.9983863830566406
happy 0.9794193506240845
happy 0.9767560958862305
happy 0.9998964071273804

neutral :
neutral 0.9663801789283752
neutral 0.9999896287918091
neutral 0.9997721314430237
neutral 0.9974684715270996
neutral 0.9884690642356873
neutral 0.9327317476272583
neutral 0.9996190071105957
neutral 0.9903514981269836
neutral 0.9991198182106018
neutral 0.9999138116836548
neutral 0.9995057582855225
neutral 0.9999302625656128
neutral 0.9999810457229614
neutral 0.9997242093086243
neutral 0.9920135140419006
neutral 0.9977763295173645
neutral 0.9995384216308594
neutral 0.9263813495635986
neutral 0.9906576871871948
neutral 0.9994909763336182
neutral 0.9999619722366333
neutral 0.999995231628418
neutral 0.9186333417892456
neutral 0.9601779580116272
neutral 0.9999836683273315
neutral 0.9999278783798218
neutral 0.9994956254959106
neutral 0.9778813123703003
neutral 0.9999923706054688
neutral 0.8267130255699158
neutral 0.7665273547172546
neutral 0.9525254964828491

sadness :
sadness 0.9306259155273438
sadness 0.6983799934387207

surprise :
surprise 1.0
surprise 0.9999961853027344
surprise 1.0
surprise 1.0
surprise 0.9997146725654602
surprise 1.0
surprise 0.9999747276306152
surprise 0.9999637603759766

Accuracy : 98.33 %
----------------------------------------------
nose :

anger :
neutral 0.8525578379631042
neutral 0.5035421848297119
neutral 0.5860424041748047
neutral 0.5165454745292664

contempt :
neutral 0.7349186539649963

disgust :
disgust 0.9360028505325317
disgust 0.9737235307693481
disgust 0.9980250597000122
disgust 0.7725698351860046
disgust 0.9982842803001404

fear :
anger 0.45893099904060364
neutral 0.3886357545852661

happy :
neutral 0.7621781826019287
happy 0.487131267786026
happy 0.6593393683433533
neutral 0.5746375918388367
neutral 0.8342528939247131
neutral 0.7315603494644165

neutral :
neutral 0.9606502056121826
neutral 0.9229768514633179
neutral 0.6792434453964233
surprise 0.5049799680709839
surprise 0.5087594985961914
surprise 0.48362940549850464
neutral 0.9586648344993591
neutral 0.7209417819976807
neutral 0.8123584985733032
neutral 0.754599392414093
neutral 0.8831554651260376
neutral 0.7869504690170288
surprise 0.7001864314079285
neutral 0.8768600821495056
neutral 0.8035411238670349
surprise 0.9436995983123779
neutral 0.9693605899810791
surprise 0.5120101571083069
neutral 0.9695354700088501
neutral 0.9932458996772766
neutral 0.8481295108795166
neutral 0.974453330039978
neutral 0.5970302224159241
neutral 0.9544539451599121
neutral 0.8691702485084534
neutral 0.8274956345558167
neutral 0.9427937269210815
neutral 0.9875255823135376
neutral 0.9356050491333008
neutral 0.8617717027664185
neutral 0.7284944653511047
neutral 0.9487969279289246

sadness :
neutral 0.751240074634552
anger 0.5948345065116882

surprise :
surprise 0.609308123588562
surprise 0.7617352604866028
neutral 0.8972311615943909
surprise 0.8102583289146423
surprise 0.9446609616279602
neutral 0.5245186686515808
surprise 0.9387953877449036
neutral 0.3427790403366089

