test :
anger :
anger 0.9936771988868713
anger 0.9965121150016785
anger 0.993644118309021
anger 0.9799385070800781
contempt :
neutral 0.5966798663139343
disgust :
disgust 1.0
disgust 1.0
disgust 1.0
disgust 0.9999409914016724
disgust 1.0
fear :
disgust 0.7251375317573547
fear 0.9950686693191528
happy :
happy 0.9999990463256836
happy 0.9999998807907104
happy 1.0
happy 1.0
happy 0.9996367692947388
happy 1.0
neutral :
neutral 0.9999600648880005
neutral 0.9999998807907104
neutral 0.9999899864196777
neutral 0.9999935626983643
neutral 1.0
neutral 0.9999442100524902
neutral 1.0
neutral 1.0
neutral 1.0
neutral 1.0
neutral 1.0
neutral 0.9999997615814209
neutral 1.0
neutral 1.0
neutral 0.9999980926513672
neutral 0.9999973773956299
neutral 0.9999995231628418
neutral 0.9999912977218628
neutral 1.0
neutral 0.9999990463256836
neutral 0.9999998807907104
neutral 1.0
neutral 0.9997360110282898
neutral 0.9999997615814209
neutral 0.9999798536300659
neutral 0.9999926090240479
neutral 0.999998927116394
neutral 1.0
neutral 1.0
neutral 0.9985383749008179
neutral 0.9948742985725403
neutral 0.9954792261123657
sadness :
neutral 0.9963213205337524
sadness 0.974729061126709
surprise :
surprise 1.0
surprise 1.0
surprise 0.9999998807907104
surprise 1.0
surprise 1.0
surprise 0.9999904632568359
surprise 0.9999997615814209
surprise 1.0
Accuracy : 95.00 %
